"type";"ville";"prix";"surface";"nb_pieces";"nb_chambres";"description"
"ventes-appartements";"Paris 12E (75012)";"395000";"32";"2";"2";"**Logement neuf, dans petite copropriété - Clé en main**. Frais de notaire réduit Chaleureux 2 pièces de 32 m2 au cœur du 12eme arrondissement de paris. Situé à 50m du métro Montgallet et Diderot a..."
"ventes-appartements";"Paris 18E (75018)";"415000";"43";"2";"1";"Très proche du métro et de toutes commodités À 10mn à pied du Sacré Cœur Appartement 2 pièces Avec accès sur les jardins de la copropriété (TABLE ET CHAISES OK)- appartement traversant et lumineux (..."
"ventes-appartements";"Paris 13E (75013)";"480000";"38";"2";"1";"Dans bel immeuble,  appartement 2 pièces 37,10 m² / Rez-de-chaussée / sur 2 niveaux / seul dans une entrée privative / idéalement situé / hauteur sous plafond de 3,50 m / jamais habité . Limite 5ᵉ,..."
"ventes-appartements";"Paris 10E (75010)";"1195000";"110";"5";"3";"Situé au cœur du quartier des Grands Boulevards, du Faubourg Saint-Denis et de ses commerces, l’appartement se trouve à 3 minutes à pied des métros Bonne Nouvelle et Strasbourg Saint-Denis (lignes..."
"ventes-appartements";"Paris 10E (75010)";"350000";"34";"1";"";"Rue de la Grange Aux Belles, entre République et Colonel Fabien, à 2 min du Canal St -Martin. Appartement **lumineux et calme** au 5ème étage sans ascenseur de 34 m2.  1 pièce de 23 m2, 1 cuisine..."
"ventes-appartements";"Paris 12E (75012)";"85000";"8.10";"1";"";"Studio 8,10 m² - 21,90 m³ - Immeuble Haussmannien Métro Nation (proches Grandes Écoles, commerces) en face de l'annexe université Sorbonne.   **Studette entièrement meublée** : cuisinette..."
"ventes-appartements";"Paris 12E (75012)";"279000";"27.88";"1";"";"Paris 12e – Bel-Air. **Studio très lumineux – plein sud** – 4ᵉ et dernier étage avec ascenseur.  Dans le quartier recherché de Bel-Air, à seulement 5 minutes du métro Line 6, charmant studio..."
"ventes-appartements";"Paris 12E (75012)";"849000";"58";"2";"1";"**Magnifique appartement avec AUTORISATION de LOCATION SAISONNIÈRE 365 J/AN – Paris centre. Un produit UNIQUE sur le marché parisien, au charme rare.**  **En plein cœur de Paris, découvrez ce bien,..."
"ventes-appartements";"Paris 13E (75013)";"532000";"65";"3";"2";"Paris 13 ème – Quartier Jeanne d'Arc.  Dans une résidence des années 1960 bien entretenue de 8 étages, calme, sécurisée, conviviale, accessible aux personnes à mobilité réduite, ce bien au 3 ème..."
"ventes-appartements";"Paris 14E (75014)";"680000";"79";"3";"2";"Au 10e et dernier étage d'un immeuble des années 1970 bien entretenu, cet appartement traversant de 79 m² bénéficie d'une lumière exceptionnelle grâce à sa double exposition sud-est / nord-ouest et..."
"ventes-appartements";"Paris 14E (75014)";"240000";"19.61";"1";"";"Studio de 19,61 m² Carrez, dans le 14e arrondissement de Paris, au sein d'un immeuble bien entretenu, sécurisé et avec un gardien.  Le bien se compose d'une pièce principale lumineuse avec grande..."
"ventes-appartements";"Paris 15E (75015)";"329000";"38.20";"2";"1";"A 5 min à pied de la gare Montparnasse, rue Dulac (15ème), métro Pasteur.  **appartement 2/3 entièrement rénové**, rez-de-chaussée traversant sur rue très calme et sur cour. Cuisine équipée avec..."
"ventes-appartements";"Paris 6E (75006)";"765000";"49.80";"3";"1";"Rue Dauphine, quartier de la Monnaie. Charmant appartement 3 pièces situé au deuxième étage d’une petite copropriété. **En très bon état**, il se compose d’une salle à manger, d’un séjour lumineux..."
"ventes-appartements";"Paris 20E (75020)";"415000";"45.04";"2";"1";"**Beau 2 pièces** de 45,04 m² (loi Carrez), **rénové, aucun travaux à prévoir**. Appartement **lumineux, bien agencé (exposition sud-est), au calme, sans vis-à-vis**, au 3ᵉ étage avec 2 ascenseurs."
