ville,code_postal,departement,type_bien,type_transaction,source,surface,prix,nb_pieces,nb_chambres,prix_m2,prix_m2_predit,ecart_pct,score_marche
Paris,75015,75,Appartement,vente,pap,21.8,250000.0,1.0,1.0,11467.89,11270.7,1.75,Prix marche
Villejuif,94800,94,Appartement,vente,pap,57.0,245000.0,3.0,2.0,4298.25,4715.95,-8.86,Prix marche
Draguignan,83300,83,Appartement,vente,pap,129.0,240000.0,6.0,4.0,1860.47,3482.16,-46.57,Sous-evalue
Courbevoie,92400,92,Appartement,vente,pap,30.0,239800.0,2.0,1.0,7993.33,8501.12,-5.97,Prix marche
Cabourg,14390,14,Appartement,vente,orpi,43.0,239000.0,2.0,1.0,5558.14,3454.77,60.88,Sur-evalue
Châtenay-malabry,92290,92,Appartement,vente,pap,46.5,235000.0,2.0,1.0,5053.76,6908.93,-26.85,Sous-evalue
Paris,75017,75,Appartement,vente,pap,23.4,235000.0,1.0,1.0,10051.33,11270.7,-10.82,Prix marche
Saint-leu,97436,97,Appartement,vente,pap,39.0,230000.0,1.0,1.0,5897.44,4473.49,31.83,Sur-evalue
Ornon,33140,33,Appartement,vente,pap,62.3,229900.0,3.0,2.0,3690.21,4585.13,-19.52,Sous-evalue
Lyon,69006,69,Appartement,vente,pap,51.0,229000.0,2.0,1.0,4490.2,4323.42,3.86,Prix marche
Bry-sur-marne,94360,94,Appartement,vente,pap,47.0,220000.0,2.0,1.0,4680.85,5164.77,-9.37,Prix marche
Parempuyre,33290,33,Appartement,vente,pap,60.0,209000.0,3.0,2.0,3483.33,4585.13,-24.03,Sous-evalue
Conflans-sainte-honorine,78700,78,Appartement,vente,pap,49.0,205000.0,2.0,1.0,4183.67,4610.23,-9.25,Prix marche
Saint-paul,97400,97,Appartement,vente,pap,31.0,205000.0,1.0,1.0,6612.9,4559.34,45.04,Sur-evalue
Wattignies,59139,59,Appartement,vente,pap,63.0,200000.0,3.0,2.0,3174.6,4323.42,-26.57,Sous-evalue
Créteil,94000,94,Appartement,vente,pap,49.0,200000.0,2.0,1.0,4081.63,4715.95,-13.45,Prix marche
Choisy,94600,94,Appartement,vente,orpi,61.0,199000.0,3.0,1.0,3262.3,3697.23,-11.76,Prix marche
Lille,59000,59,Appartement,vente,orpi,50.0,199000.0,2.0,1.0,3980.0,3304.7,20.43,Sur-evalue
Sospel,06380,06,Appartement,vente,entreparticuliers,96.0,197000.0,4.0,1.0,2052.08,5217.71,-60.67,Sous-evalue
Saint,66750,66,Appartement,vente,orpi,48.0,195000.0,3.0,1.0,4062.5,3454.77,17.59,Sur-evalue
Strasbourg,67000,67,Appartement,vente,orpi,48.0,189000.0,3.0,1.0,3937.5,3454.77,13.97,Prix marche
Dax,40100,40,Appartement,vente,entreparticuliers,62.0,186000.0,3.0,1.0,3000.0,4323.42,-30.61,Sous-evalue
Palavas,34250,34,Appartement,vente,orpi,29.0,184000.0,2.0,1.0,6344.83,3540.62,79.2,Sur-evalue
La Verpillière,38290,38,Appartement,vente,orpi,76.0,178900.0,4.0,1.0,2353.95,2637.96,-10.77,Prix marche
Paris,75018,75,Appartement,vente,pap,19.4,169000.0,1.0,1.0,8733.85,11270.7,-22.51,Sous-evalue
Saint,83700,83,Appartement,vente,orpi,66.0,165000.0,4.0,1.0,2500.0,2992.78,-16.47,Sous-evalue
Caen,14000,14,Appartement,vente,entreparticuliers,32.0,160000.0,2.0,1.0,5000.0,4559.34,9.66,Prix marche
Paris,75012,75,Appartement,vente,pap,15.8,159000.0,1.0,1.0,10082.44,11270.7,-10.54,Prix marche
Grenoble,38000,38,Appartement,vente,entreparticuliers,77.0,155000.0,3.0,1.0,2012.99,3395.11,-40.71,Sous-evalue
Paris,75020,75,Appartement,vente,pap,16.0,150000.0,1.0,1.0,9375.0,11270.7,-16.82,Sous-evalue
Paris,75016,75,Appartement,vente,pap,11.2,149000.0,1.0,1.0,13303.57,11270.7,18.04,Sur-evalue
Paris,75015,75,Appartement,vente,pap,11.0,146000.0,1.0,1.0,13272.73,11270.7,17.76,Sur-evalue
Possession,97419,97,Appartement,vente,pap,40.2,135000.0,2.0,1.0,3358.21,4473.49,-24.93,Sous-evalue
Bourg-de-péage,26300,26,Appartement,vente,entreparticuliers,72.0,131000.0,4.0,1.0,1819.44,4011.5,-54.64,Sous-evalue
Mende,48000,48,Appartement,vente,orpi,66.0,130000.0,4.0,1.0,1969.7,2992.78,-34.18,Sous-evalue
Grenoble,38000,38,Appartement,vente,entreparticuliers,75.0,125000.0,3.0,1.0,1666.67,3395.11,-50.91,Sous-evalue
Courdimanche,95800,95,Appartement,vente,orpi,28.0,125000.0,1.0,1.0,4464.29,3540.62,26.09,Sur-evalue
Châteaurenard,13160,13,Appartement,vente,entreparticuliers,44.0,107900.0,2.0,1.0,2452.27,4473.49,-45.18,Sous-evalue
Paris,75015,75,Appartement,vente,pap,9.5,90000.0,1.0,1.0,9453.78,11270.7,-16.12,Sous-evalue
Vienne,38200,38,Appartement,vente,orpi,28.0,85000.0,2.0,1.0,3035.71,3349.59,-9.37,Prix marche
Dax,40100,40,Appartement,vente,orpi,25.0,82500.0,1.0,1.0,3300.0,3540.62,-6.8,Prix marche
Argentan,61200,61,Appartement,vente,orpi,37.0,82400.0,2.0,1.0,2227.03,2951.88,-24.56,Sous-evalue
Reims,51100,51,Appartement,vente,entreparticuliers,40.0,79920.0,2.0,1.0,1998.0,3972.54,-49.7,Sous-evalue
