type_transaction,type_bien,prix,surface,nb_pieces,nb_chambres,ville,code_postal,description,source
location,Maison,695.0,77.0,3.0,,Saint,24110,"Maison À Louer. Maison à louer située à Saint-Astier, offrant 77,45 m² en bon état. Construite en 1970, elle comprend 1 chambre en rez de chaussée lumineuses, un séjour convivial, un jardin privatif, cuisine aménagée ouverte, une salle d'eau, un cellier et à l'étage une deuxième chambre mansardée.",orpi
location,Maison,680.0,66.0,3.0,1.0,Saint-paul-cap-de-joux,81220,"Vous recherchez le confort du moderne allié au charme de l'ancien ? Découvrez cette charmante maison de 66 m², entièrement rénovée, située en plein cœur de Saint-Paul-Cap-de-Joux(à 20min de Castres,...",pap
location,Maison,665.0,68.0,3.0,,Bouzy,45460,Maison Bouzy La Foret 3 pièce(s) 68 m2. Maison au calme en campagne à 5 minutes de la tangentielle (sortie Châteauneuf sur Loire),orpi
location,Maison,490.0,45.0,2.0,1.0,Sablé-sur-sarthe,72300,"Maison mitoyenne meublée de 2 pièces, située dans le centre ville de Sablé sur Sarthe. Idéal pour personne seule ou en couple.  Cette maison comprend 1 chambre et 1 salle de bain avec wc. La cuisine...",pap
location,Maison,470.0,80.0,3.0,,Saint-sardos,82600,,entreparticuliers
location,Maison,465.0,35.0,1.0,,Nancy,54000,"Appartement Nancy 2 pièce(s) - 35 M2 - Quartier des 3 Maisons.. 6 Rue de l'Atrie, 54000 NANCY",orpi
location,Maison,420.0,21.0,2.0,,Nancy,54000,"À louer: Venez découvrir cet appartement de 21,32 m2 au cœur du Faubourg des Trois Maisons, il se trouve au 3e et dernier étage. Il comporte une pièce principale avec un coin kitchenette, une chambre et une salle d'eau avec WC.",orpi
location,Appartement,3590.0,78.0,3.0,2.0,Paris,75006,"Idéalement situé entre St. Germain des Près, Jardin du Luxembourg et Montparnasse sur la rue de Rennes (M. St. Placide), près du grand magasin  de  Bon Marché, au 1er étage avec ascenseur d'un...",pap
location,Appartement,3500.0,80.0,3.0,,Paris,75015,**Restau clé en main – extraction – paris 15 – dispo immédiate aucun travaux – installation rapide** 49 rue Dantzig – 75015 38 places assises Cuisine pro équipée + froid VRAIE extraction extérieure...,pap
location,Appartement,3200.0,44.0,3.0,,Paris,75004,"En plein coeur du Marais, près  de la place des Vosges, à 5 mn du métro St-Paul, dans un immeuble classé. **Belle boutique de 44 m2, lumineuse** : côté rue de Sévigné, et côté cour, avec beaucoup de...",pap
location,Appartement,3080.0,65.0,2.0,1.0,Paris,75016,"Immeuble luxueux avenue Foch, appartement meublé 65 m2 et 28 m2 de balcon. Au 8e et dernier étage.  Ensoleillé comprenant entrée, séjour, salle à manger, cuisine équipée, chambre, salle de bains avec...",pap
location,Appartement,3000.0,100.0,3.0,,Paris,75011,"Local commercial sur rue en open space, pouvant être cloisonné, bureau séparé, mezzanine, stockage, douche, wc. Rue calme, volet roulant métallique, les charges incluent également le chauffage, les...",pap
location,Appartement,2450.0,69.0,3.0,2.0,Nanterre,92000,"3 pièces **traversant** 69 m² – 5e étage ascenseur – **sans vis-à-vis** – au pied du RER A Nanterre-Ville – meublé premium, fibre incluse Au 2 boulevard de la Seine, au pied de la station RER A...",pap
location,Appartement,2400.0,80.76,4.0,3.0,Rueil-malmaison,92500,"Appartement récent (livré en 2020) – Refait à neuf – Location meublée  Très bel appartement de type F4, offrant des prestations modernes et de qualité, idéal pour une famille ou des actifs.  Il se...",pap
location,Appartement,2400.0,71.0,3.0,,Paris,75012,"Local commercial en rez-de-chaussée sur rue de Cîteaux,  situé à 5 minutes à pied de la gare de Lyon, proche rue Crozatier, du  boulevard Diderot et de l'avenue Daumesnil, du quartier Aligre, et de...",pap
location,Appartement,2310.0,38.0,3.0,,Paris,75005,"Location bureaux, commercial ou professionnel 38 m² Paris 5ème (75005) : 2.310 € + TVA sur loyer.  **Bureau 2 pièces**, Paris 5ème Notre Dame. Rue Galande. Métro et RER St Michel Notre Dame. ...",pap
location,Appartement,2249.0,130.0,5.0,,Bordeaux,33800,Superbe appartement familial de 130 m² situé dans une résidence récente à Bordeaux Belcier.,orpi
location,Appartement,2000.0,51.0,3.0,1.0,Paris,75017,"Bel appartement 51 m², quartier Batignolles, proche métro Brochant (50 mètres) et station Pont Cardinet (4 min à pieds selon Google).  Cheminée, parquet, cuisine équipée, 4ème étage, vue dégagée,...",pap
location,Appartement,1950.0,72.0,3.0,2.0,Châtillon,92320,"3 pièces  2 chambres  72 m². **T3 meublé avec balcons et parking** – Quartier Maison Blanche.  Bel appartement situé dans une résidence calme et verdoyante, au pied de la coulée verte.  Il se compose...",pap
location,Appartement,1700.0,90.0,4.0,,Nantes,44000,"Situé au 12ème étage d'une résidence sécurisée avec ascenseur, cet appartement se distingue par son exposition et sa hauteur, garantissant une luminosité remarquable toute la journée ; il est en effet très lumineux. L'espace intérieur a été conçu pour le confort familial avec trois chambres distinctes, complétées par deux salles d'eau pour une commodité optimale. Le séjour s'ouvre sur une belle loggia, un espace extérieur appréciable pour profiter de l'air et de la vue. La cuisine est entièrement équipée, prête à l'emploi. Pour parfaire ce confort, une place de parking en sous-sol est incluse dans la location, un atout majeur dans ce secteur.",orpi
location,Appartement,1668.0,93.0,3.0,,Brétigny-sur-orge,91220,"Sur une rue passante de Brétigny-sur-Orge, quartier de la Moinnerie, local professionnel rénové, en rez de chaussée, disponible le 1er juillet 2026, d'environ 93 m2 + une pièce de stockage : ancien...",pap
location,Appartement,1622.0,51.0,2.0,1.0,Paris,75010,**Location Meublée. PARIS 10ème – GRANDS BOULEVARDS**  ---  **Situation** Au pied des stations de métro Strasbourg-Saint-Denis et Bonne-Nouvelle. 1er étage sur cour intérieure – très calme.  **Le...,pap
location,Appartement,1600.0,39.0,1.0,,Paris,75015,"5 minutes du métro Cambronne 39 m2 Vue exceptionnelle sur Tour Eiffel , agencement intérieur très architectural Bien meublé Armoire lit rabattable avec matelas épais 160x200 (armoire suffisamment...",pap
location,Appartement,1600.0,27.0,1.0,,Paris,75014,Appartement à la location sur la période du 16 avril au 16 mai et du 19 juillet au 31 Août 2026 Un vrai bijou ! Studio alcova avec coin nuit séparé. Rénové et finement décoré. Fonctionnel et tout...,pap
location,Appartement,1590.0,67.0,3.0,,Ambilly,74100,"Il se compose d’un hall d’entrée, d’une cuisine équipée, de deux chambres, d’un séjour lumineux, d’une salle de bains et d’un WC séparé.",orpi
location,Appartement,1570.0,51.0,2.0,1.0,Charenton-le-pont,94220,"Grand 2 pièces meublé de 51 m² avec terrasse de 15 m², pour locataire soigneux, appréciant les belles choses.  Cet appartement à louer pour une longue durée (bail d'un an renouvelable), est situé au...",pap
