type_transaction,type_bien,prix,surface,nb_pieces,ville,code_postal,description,source
location,Appartement,1050,53,2,Cergy,95000,,entreparticuliers
location,Appartement,535,42,2,Verneuil d'Avre et d'Iton,27130,,entreparticuliers
location,Appartement,845,27,1,Châtillon,92320,,entreparticuliers
location,Appartement,650,31,2,Bordeaux,33000,,entreparticuliers
location,Appartement,695,15,1,Paris,75001,,entreparticuliers
location,Appartement,1300,61,3,Bordeaux,33000,,entreparticuliers
location,Appartement,400,22,1,Coutras,33230,,entreparticuliers
location,Maison,810,29,1,L'Haÿ-les-Roses,94240,,entreparticuliers
vente,Appartement,199000,73,4,Brou-sur-Chantereine,77177,,entreparticuliers
vente,Appartement,499000,92,4,Antibes,06160,,entreparticuliers
vente,Maison,535000,186,8,Audinghen,62179,,entreparticuliers
vente,Appartement,1650000,125,4,Paris,75001,,entreparticuliers
vente,Appartement,380000,66,3,Aix-en-Provence,13080,,entreparticuliers
vente,Appartement,158500,30,2,Neuilly-Plaisance,93360,,entreparticuliers
vente,Appartement,450000,55,4,Marseille,13001,,entreparticuliers
vente,Appartement,520000,208,9,Bayeux,14400,,entreparticuliers
location,Appartement,850,20,2,Paris,75001,,entreparticuliers
location,Appartement,1191,64,3,Mandelieu-la-Napoule,06210,,entreparticuliers
vente,Appartement,175000,99,5,Argelès-sur-Mer,66700,,entreparticuliers
location,Appartement,1127,66,3,Cannes,06150,,entreparticuliers
location,Appartement,967,32,1,Paris,75001,,entreparticuliers
vente,Appartement,745,33,1,L'Isle-Adam,95290,,entreparticuliers
vente,Appartement,197000,96,4,Sospel,06380,,entreparticuliers
vente,Appartement,820000,100,5,Nogent-sur-Marne,94130,,entreparticuliers
vente,Appartement,1250000,135,5,Èze,06360,,entreparticuliers
vente,Appartement,118000,23,1,Marseille,13001,,entreparticuliers
vente,Appartement,1590000,120,3,Cannes,06150,,entreparticuliers
vente,Appartement,355,22,1,Limoges,87000,,entreparticuliers
vente,Appartement,795,42,2,Grigny,91350,,entreparticuliers
location,Appartement,1023,33,2,Boulogne-Billancourt,92100,,entreparticuliers
vente,Appartement,450,22,1,Tours,37000,,entreparticuliers
location,Appartement,650,33,2,Toulon,83000,,entreparticuliers
vente,Appartement,191000,110,4,Cervione,20221,,entreparticuliers
vente,Appartement,299000,85,4,Chambéry,73000,,entreparticuliers
location,Appartement,620,45,2,Mulhouse,68100,,entreparticuliers
vente,Appartement,79920,40,2,Reims,51100,,entreparticuliers
vente,Appartement,315000,69,3,Gif-sur-Yvette,91190,,entreparticuliers
location,Appartement,410,33,1,Calais,62100,,entreparticuliers
location,Appartement,839,30,2,Gennevilliers,92230,,entreparticuliers
location,Appartement,291,17,1,Troyes,10000,,entreparticuliers
location,Appartement,653,59,3,Troyes,10000,,entreparticuliers
location,Appartement,776,47,2,Zonza,20124,,entreparticuliers
location,Appartement,1100,38,1,Versailles,78000,,entreparticuliers
vente,Appartement,2000,46,3,Asnières-sur-Seine,92600,,entreparticuliers
location,Appartement,600,29,1,Rennes,35000,,entreparticuliers
location,Appartement,890,49,2,Nantes,44000,,entreparticuliers
vente,Appartement,89000,48,3,Barjols,83670,,entreparticuliers
vente,Appartement,107900,44,2,Châteaurenard,13160,,entreparticuliers
vente,Appartement,2190000,110,5,Paris,75001,,entreparticuliers
vente,Appartement,379000,64,4,Paris,75001,,entreparticuliers
vente,Maison,310000,77,4,Saint-Brevin-les-Pins,44250,,entreparticuliers
location,Appartement,490,61,3,Sainte-Sigolène,43600,,entreparticuliers
vente,Maison,219000,80,5,Breuil-Magné,17870,,entreparticuliers
vente,Appartement,298000,62,3,Marseille,13001,,entreparticuliers
location,Appartement,720,80,4,Perpignan,66000,,entreparticuliers
