"transaction";"type_bien";"prix";"surface";"nb_pieces";"nb_chambres";"ville";"code_postal";"description";"source"
"ventes";"appartements";"530000";"58.0";"3";"2";"Paris";"75012";"Coulée verte  / Daumesnil  Trois pièces lumineux 58 m2 à la vue dégagée sur la coulée verte ! Dans un bel immeuble ancien entièrement ravalé intérieur et extérieur. Découvrez  un  appartement de...";"pap"
"ventes";"appartements";"549000";"43.0";"2";"1";"Paris";"75013";"Aménagement intérieur 2 pièces transformées en un open-space lumineux et fonctionnel de 34 m². Entrée de 3 m². SdB avec douche à l’italienne, WC suspendu de 6 m² Cuisine entièrement équipée :...";"pap"
"ventes";"appartements";"1850000";"154.0";"6";"4";"Paris";"75014";"Venez découvrir ce bien rare sur les toits de Paris!  Ce duplex de 154 m2 en dernier niveau (12eme et 13eme étage) bénéficie d'une situation exceptionnelle:  - vue dégagée sur tout Paris;  -...";"pap"
"ventes";"appartements";"320000";"42.0";"2";"1";"Paris";"75015";"Paris 15e - Face au square Desnouettes, dans un bel immeuble Pierre de Taille des années 1920, nous vous proposons ce joli 2 pièces de 42 m2 en rez-de-chaussée sur le square avec vue dégagée, composé...";"pap"
"ventes";"appartements";"669000";"52.0";"2";"1";"Paris";"75010";"Situé au 5ᵉ étage sur 6 avec ascenseur d'une **charmante copropriété ancienne bien entretenue, appartement de 2 pièces (ancien 3 pièces)** d'une surface de 51,9 m² Carrez, bénéficiant d'une triple...";"pap"
"ventes";"appartements";"199000";"19.0";"1";"";"Paris";"75010";"Proche canal saint martin,métro colonel fabien premier étage sur jardin,calme. 19 m2 bien distribué sans perte de place.  Cuisinette séparée (frigo,plaque ) Salle d'eau avec branchement machine à...";"pap"
"ventes";"appartements";"369000";"34.6";"2";"1";"Paris";"75012";"Idéalement situé à deux pas du très prisé marché d’Aligre, au cœur d’un quartier vivant avec de nombreux commerces, venez découvrir ce superbe appartement de 34,62 m² entièrement refait à neuf.  ...";"pap"
"ventes";"appartements";"250000";"21.8";"1";"";"Paris";"75015";"Je vous propose ce studio de 21,8 m² situé au 4ème étage d'un immeuble construit en 1960, dans le 15ème arrondissement de Paris.  Ce studio comprend une pièce principale avec un espace cuisine...";"pap"
"ventes";"appartements";"980000";"102.0";"4";"3";"Paris";"75016";"62 Boulevard Suchet, beau 4 pièces de 102 m2 situé au 1° étage d'un immeuble ancien  qui en comporte 4.  Avec 3 terrasses ou balcons , l'ensemble est particulièrement lumineux avec vue imprenable sur...";"pap"
"ventes";"appartements";"870000";"101.0";"4";"3";"Paris";"75016";"En plein coeur du 16e arrondissement de Paris à la frontière avec Boulogne Billancourt, ce magnifique appartement de 101 m2, au 3e étage de l'immeuble du 11 Avenue Ferdinand Buisson. Comporte 3...";"pap"
"ventes";"appartements";"195000";"13.0";"1";"";"Paris";"75016";"Studio 18 mètres carrés au sol. Dernier étage avec ascenseur. Accès cour à vélo. Proximité commerce et marché. Métro. Deux velux neufs. Une pièce principale une cuisine équipée avec plaque frigidaire...";"pap"
"ventes";"appartements";"180000";"15.0";"1";"";"Paris";"75017";"Paris 17ᵉ – Passage Cardinet, à deux pas de la rue de Lévis.  Idéalement situé dans un environnement recherché et commerçant, au calme du Passage Cardinet et à proximité immédiate de la très prisée...";"pap"
"ventes";"appartements";"988000";"90.0";"4";"2";"Paris";"75017";"Idéalement situé à proximité de l’avenue Niel et proche des marchés Lebon et Poncelet, cet appartement de 4 pièces est situé au 1ᵉʳ étage d’un immeuble ancien récemment ravalé, construit en 1895,...";"pap"
"ventes";"appartements";"289000";"36.0";"2";"1";"Paris";"75018";"Charmant 2 pièces rénové – Calme sur cour – Lumineux – Cheminée – Secteur Rochechouart / Montmartre  À seulement 100 mètres des métros Barbès-Rochechouart (lignes 2 et 4) et à proximité immédiate de...";"pap"
"ventes";"appartements";"380000";"36.5";"2";"1";"Paris";"75018";"Au pied du métro Anvers (ligne 2), dans un bel immeuble en pierre de taille datant de 1895, beau 2 pièces entièrement sur cour et très calme.  L'appartement, situé au 3e étage, se compose d'une...";"pap"
"ventes";"appartements";"259000";"34.0";"2";"1";"Paris";"75018";"Entre Marx Dormoy et porte de la chapelle, 2 pièces sur cour, très calme et très lumineux. Traversant, cour/cour. Refait à neuf. Coin cuisine entièrement équipée (réfrigérateur, plaques, four), dans...";"pap"
"ventes";"appartements";"360000";"38.0";"2";"1";"Paris";"75019";"PARC DES BUTTES CHAUMONT - BIEN RARE !  À deux pas du parc des Buttes Chaumont et du métro Ourcq, découvrez ce charmant T2 de 38 m², situé au 1ᵉʳ étage d'un immeuble haussmannien.  Cet appartement...";"pap"
"ventes";"appartements";"580000";"82.0";"4";"2";"Paris";"75015";"Quartier Convention / Dantzig  **Bien familial de 82m² au calme** dans une copropriété bien entretenue,  proche du métro Convention et de tous les commerces, bonnes écoles, marché 3 fois/semaine.";"pap"
"ventes";"appartements";"230000";"22.0";"2";"1";"Paris";"75010";"Appartement lumineux traversant orienté Sud Comprenant : Entrée couloir  1 salle séjour équipé 1 canapé lit confortable, armoires de rangement  ,1 table en verre ,4 chaises. Chauffage électrique bain...";"pap"
"ventes";"appartements";"795000";"94.0";"4";"3";"Paris";"75020";"Nous vendons notre appartement de 4 pièces situé à Porte de Bagnolet. L'appartement en parfait état est constitué de 3 chambres (10-12-14m2), 1 salle d'eau et 1 salle de bain et se trouve dans une...";"pap"
"ventes";"appartements";"170000";"17.8";"1";"";"Paris";"75020";"Charmant studio meublé 17,8 m² – lumineux et cosy – entièrement rénové en 2025 -Paris 20è  À vendre, studio meublé de 17,8 m² plein de charme, idéalement situé rue du Capitaine Ferber, près de la...";"pap"
"ventes";"appartements";"148000";"16.0";"1";"";"Paris";"75020";"À VENDRE – STUDIO 16 m² – AU PIED DU MÉTRO Idéalement situé au pied du métro Saint Fargeau, rue Haxo, au 6ᵉ étage d'un immeuble bien entretenu (sans ascenseur), découvrez ce studio traversant de 16...";"pap"
"ventes";"appartements";"168000";"17.0";"1";"";"Paris";"75020";"Charmant studio de caractère dans un immeuble de standing doté d'un hall d'entrée spacieux avec double digicode. Situé au RDC sur cour, calme, sécurisé et clair, il séduit par sa belle hauteur sous...";"pap"
