"type";"ville";"prix";"surface";"nb_pieces";"nb_chambres";"description"
"ventes-appartements";"Paris 20E (75020)";"929000";"109";"3";"2";"**Au pied du métro Buzenval, bel appartement rénové situé au troisième étage (sans ascenseur).**  D'une superficie de  109 m², il comprend une vaste et lumineuse pièce de vie, sur parquet et ..."
"ventes-appartements";"Paris 15E (75015)";"369000";"50";"2";"1";"**Urgent**. À saisir.  Paris 15ᵉ - Bord de Seine - Vue tour Eiffel – Spécial investisseur LMNP résidence de tourisme rentabilité 5,93% + défiscalisation  Produit rare : 2 pièces de 50 m² au 8e étage..."
"ventes-appartements";"Paris 19E (75019)";"240000";"25.71";"1";"";"**Proximité métro Danube**  Charmant appartement de type studio, situé au premier étage et d'une surface habitable de 25m2, il se compose d'une entrée principale, bel espace de vie exposé nord-est..."
"ventes-appartements";"Paris 16E (75016)";"1390000";"114";"6";"4";"À vendre – *Spacieux appartement familial traversant rénové avec vue dégagée*  68 rue Boileau, à proximité de Notre Dame des Oiseaux et Jean Baptiste Say  Situé au *6ᵉ étage avec  2 ascenseurs*, cet..."
"ventes-appartements";"Paris 17E (75017)";"329000";"33.04";"2";"1";"Agences &  autres professionnels de l'immobilier merci de vous abstenir de me contacter car aucune réponse ne vous sera donnée !*  Quartier des Epinettes.  Appartement 2 pièces, 33.04 m²entièrement..."
"ventes-appartements";"Paris 18E (75018)";"349000";"41";"2";"1";"Rue Bonnet, appartement 2P, 40,50 m2 Carrez, entièrement refait, libre, traversant, séjour/cuisine de 24 m2 avec trois fenêtres plein sud en façade sur voie privée arborée très calme, sans vis-à-vis..."
"ventes-appartements";"Paris 16E (75016)";"995000";"83";"3";"2";"Idéalement situé entre la place Victor Hugo et la place du Trocadéro, appartement climatisé (climatisation réversible) de 3 pièces en parfait état d'une surface de 83 m² avec balcon/terrasse aménagé..."
"ventes-appartements";"Paris 11E (75011)";"375000";"33";"1";"";"Appartement d'une surface carrez de 33 m², comprenant une pièce principale, plus une salle d'eau, un dressing (grands placards) et cuisine séparée ; balcon/loggia de 2,8 m² donnant sur jardin..."
"ventes-appartements";"Paris 19E (75019)";"342000";"36.36";"2";"1";"Deux pièces, situé rue de Nantes à 60 m du canal de l’Ourcq, très calme, se trouve sur l’arrière au 1er étage. Avec une façade de type haussmannien, l’immeuble a fait l’objet de nombreux travaux de..."
"ventes-appartements";"Paris 19E (75019)";"76000";"7.96";"1";"1";"Chambre à rafraichir éligible à la location dans copropriété calme et propre, située au 3ᵉ Étage avec belle hauteur sous plafond 7,96 m² surface au sol et 20,45 m³ de volume à 5 minutes à pied du..."
"ventes-appartements";"Paris 20E (75020)";"680000";"78";"4";"2";"**Paris 20 - Saint-Blaise -78 m² refait à neuf - 8e étage -  4 pièces - 2 chambres - Cave et parking **  Idéalement situé, cet appartement bénéficie d’un cadre de vie vivant et recherché dans le..."
"ventes-appartements";"Paris 2E (75002)";"1730000";"151";"6";"4";"**Superbe appartement**  6 pièces 151m²/ **Paris 2ème Vivienne-Ggaillon**  **Achat direct propriétaire** :  **professionnels de l'immobilier** : **pas de démarchage**! **Merci.**  **Proche de la..."
"ventes-appartements";"Paris 2E (75002)";"469000";"37";"2";"1";"Offrez-vous une adresse prestigieuse au cœur du 2eme arrondissement- Rue St-Fiacre. Architecture du milieu du XIXème, cet immeuble idéalement situé dans le très recherché quartier du Sentier abrite..."
"ventes-appartements";"Paris 3E (75003)";"180000";"18";"1";"";"Rue Beaubourg. **Grand studio** de 20,7 m2 au sol (18 loi carrez), vue dégagée, deux fenêtres, cuisine américaine, salle d'eau et toilettes. Au  7ème étage sans ascenseur d'un bel immeuble dans un..."
"ventes-appartements";"Paris 7E (75007)";"1290000";"66";"3";"1";"Au pied de la tour Eiffel et de ses jardins.  Appartement 66 m² comprenant entrée, double living, chambre, cuisine fermée, salle bains et wc séparé.  RDC sans vis-à-vis.  Charges copropriété : 100 €..."
"ventes-appartements";"Paris 8E (75008)";"1900000";"170";"4";"3";"Appartement spacieux de 170 m² situé dans le 8ᵉ arrondissement, à deux pas du Parc Monceau et à environ 15 minutes à pied des Champs-Élysées. Dans un immeuble haussmannien avec ascenseur et gardien,..."
"ventes-appartements";"Paris 17E (75017)";"780000";"75";"3";"2";"Paris 17e - Quartier Legendre -La Fourche (Epinettes).  Appartement rue Lengendre, entre avenue de Clichy et de St-Ouen, métro Guy-Môquet / La Fourche / Brochant, proche tous commerces, au 1er étage..."
"ventes-appartements";"Paris 8E (75008)";"430000";"31.27";"2";"1";"Appartement Charmant de 2 Pièces à Paris 8ème arrondissement. Proche du Palais de l'Élysée.  Vous rêvez de vivre au cœur de la Ville Lumière, dans un quartier prisé et chargé d'histoire ? Cet..."
"ventes-appartements";"Paris 9E (75009)";"849000";"72.41";"4";"3";"Quartier de l'Europe, Rue d'Amsterdam.  4 pièces de 72,40 m2. Immeuble romantique de 1840. 2 ème étage, exposition ouest-est, vue dégagée. très clair et très calme. Entrée, salon de 24 m2 avec..."
